Index,Name,Age,Condition,Neurodivergent,Musician,Frequencies Played,Prefered Frequency,Old Rating,New Rating
0,,,,,,"(3255, 2877)",3255,3,4
1,,,,,,"(8347, 9026)",0,3,4
